symbol,change
AXIN2,down
TCF7,down
TRPM1,down
MET,down
SOX9,down
KIT,down
MITF,down
SI,down
MLANA,down
MLPH,down
RARB,down
SPP1,down
PALLD,down
FAS,down
MME,up
MLZE,up
T2,up
BIRC5,up
EPHB6,up
ISL1,up
FZD7,up
WISP1,up
MYC,up
ID2,up
MME,up
TGFA,up
SLC7A8,up
L1CAM,up
CITED2,up
NES,up
