"","Mm_DMSO","Mm_G007LK","Mm_WNT","Mm_WNT_G007LK"
"CX3CL1",-0.909553649967905,-1.06308845468835,-1.94696593148502,-1.72405242679671
"CXCL2",-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.97177996459844
"CCL22",-3.32192809488736,-3.32192809488736,-3.12480350807843,-3.32192809488736
"CCL17",-2.16522331787607,-1.65769289229511,-2.61066082640628,-2.17223799953099
"CCL24",-2.18432690418551,-2.3901418596002,-2.57931180523852,-2.18774150752631
"CCL7",-2.90975591038983,-3.32192809488736,-3.32192809488736,-3.32192809488736
"CCL2",-2.55506442950089,-2.09728833568322,-2.88644529871863,-3.32192809488736
"IL2",-2.71709038357213,-2.44050651281349,-2.74526927523536,-3.32192809488736
"IFNG",-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.49003200555109
"IL4",1.68956268204386,2.04467679572702,2.21005967385661,1.90645215709627
"CCL20",-1.82286104219673,-3.32192809488736,-2.75273148605912,-2.29368199211989
"CCL25",3.31820263509782,3.69063191977708,3.6308374597883,3.78364216662241
"IL6",-1.84419528057272,-2.10399680407568,-1.72251152397862,-2.79258733432706
"IL10",-3.32192809488736,-3.10445739786994,-3.32192809488736,-3.32192809488736
"CXCL16",-1.92721266249006,-2.28255593803649,-2.49708847113799,-2.38249335444752
"CXCL5",-2.9673923001497,-2.20395642424243,-3.04448067954877,-2.52885667898946
"CXCL1",-0.633535870363319,0.190038340679232,-0.0712517767453962,0.475641472201577
"CSF2",-2.1700810568082,-2.33160757866256,-2.87901086187403,-2.57116093274728
"CXCL10",4.0257659740721,3.38237688630048,3.16577562353768,3.11409065414001
"CXCL11",-2.5388268025085,-2.65496729555802,-2.79465831832995,-2.41188435314984
"CCL11",-3.32192809488736,-3.03166535961933,-3.32192809488736,-3.32192809488736
"IL16",-2.28146262642272,-2.33071218895715,-2.33450766798445,-1.99210831884528
"CCL19",-3.32192809488736,-3.32192809488736,-2.86272212451439,-3.32192809488736
"TNF",-2.71911334493748,-3.32192809488736,-2.94232917537093,-2.95175862992234
"CCL5",2.69407321630033,2.8332250546164,2.32492622025988,2.67242743148909
"CCL3",-3.32192809488736,-2.57889576462575,-3.32192809488736,-2.80785566012455
"CCL4",-2.99224389390814,-3.32192809488736,-2.7790049134803,-1.47267147981276
